Chapter,Paper,Words,Number,Questions,Paper
3,1,input devices,1a,Identify two input devices that could be built into the portable tablet computer.,2024-May-11卷
3,1,output device,1b,Identify one output device that could be built into the portable tablet computer.,2024-May-11卷
3,1,storage device,1c,Identify one type of storage device that could be built into the portable tablet computer.,2024-May-11卷
1,1,hexadecimal,2a,Tick one box to show which statement about the hexadecimal number system is incorrect.,2024-May-11卷
1,1,denary to hexadecimal,2b,"Convert the three denary numbers to hexadecimal: 20, 32, 165.",2024-May-11卷
1,1,binary shift,3a,Give the 8-bit binary number that will be stored after the left shift of three places.,2024-May-11卷
1,1,logical shift,3b,Tick one box to show which statement about a logical left shift of two places is correct.,2024-May-11卷
1,1,two’s complement,3c,Convert the two’s complement integer 10100011 to denary.,2024-May-11卷
1,1,byte,3d,State how many bytes there are in a kibibyte (KiB).,2024-May-11卷
2,1,data packet,4a,Describe the structure of a data packet.,2024-May-11卷
2,1,packet switching,4b,Identify the device that controls which path is taken by each data packet.,2024-May-11卷
2,1,serial transmission,4c,Explain why serial data transmission is used to transmit the data packets.,2024-May-11卷
3,1,secondary storage,5a,State the purpose of secondary storage.,2024-May-11卷
3,1,optical storage,5b,Circle three examples of optical storage.,2024-May-11卷
3,1,RAM,5c,Explain why a computer needs RAM.,2024-May-11卷
3,1,FDE cycle,5d,Draw and annotate a diagram to show the process of the fetch stage of the FDE cycle.,2024-May-11卷
4,1,firmware,6a,State the purpose of firmware.,2024-May-11卷
4,1,example of firmware,6b,Give one example of firmware.,2024-May-11卷
4,1,system software,6c,Give two examples of system software.,2024-May-11卷
2,1,asymmetric encryption,7,Complete the paragraph about asymmetric encryption.,2024-May-11卷
6,1,automation,8a,State what is meant by the robot being automated.,2024-May-11卷
6,1,robot characteristics,8b,Give three characteristics of a robot.,2024-May-11卷
6,1,robot sensors,8c,Explain how the robot uses sensors and a microprocessor to know it has reached a fence.,2024-May-11卷
6,1,robot advantages,8d,Give two advantages of the farmer using an automated robot to plant seeds.,2024-May-11卷
6,1,robot disadvantages,8e,Give two disadvantages of the farmer using an automated robot to plant seeds.,2024-May-11卷
6,1,machine learning,8f,Explain how machine learning capabilities will improve the robot.,2024-May-11卷
2,1,transmission errors,9a,Explain how the data might have errors after transmission.,2024-May-11卷
2,1,error detection,9bi,Describe how the error detection system operates to check for errors.,2024-May-11卷
2,1,error detection methods,9bii,Give two other error detection methods that could be used.,2024-May-11卷
2,1,firewall,9ci,Explain how the firewall operates to help protect the network.,2024-May-11卷
2,1,malware,9cii,Give two examples of malware that the firewall can help protect the network from.,2024-May-11卷
1,1,bit,1a,Give the name of the data storage measurement that is equal to 8 bits.,2024-May-12卷
1,1,kibibyte,1b,State how many bits there are in a kibibyte (KiB).,2024-May-12卷
1,1,gibibyte,1c,Give the name of the data storage measurement that is equal to 1024 gibibytes (GiB).,2024-May-12卷
1,1,image storage,1d,Calculate the file size of a 16-bit colour image with a resolution of 512x512 pixels in KiB.,2024-May-12卷
2,1,data transmission,2a,Tick one box to show which term is not a method for transmitting data.,2024-May-12卷
2,1,data unit,2b,Give the name of the unit that data is broken down into for transmission.,2024-May-12卷
2,1,symmetric encryption,2ci,Explain how data is encrypted using symmetric encryption.,2024-May-12卷
2,1,encryption purpose,2cii,Give the purpose of encryption.,2024-May-12卷
1,1,number system,3a,Give the name of the number system that is base 16.,2024-May-12卷
1,1,binary conversion,3bi,"Convert three denary numbers (10, 50, 201) to binary.",2024-May-12卷
1,1,binary importance,3bii,Explain why data is converted to binary by a computer.,2024-May-12卷
1,1,binary addition,3c,Add two binary integers 00110000 and 01100110 and show the answer in binary.,2024-May-12卷
1,1,two’s complement,3d,Calculate the two’s complement representation of -32.,2024-May-12卷
4,1,system software,4a,Give one example of system software.,2024-May-12卷
4,1,application software,4b,Give two examples of application software.,2024-May-12卷
4,1,software difference,4c,Describe the difference between system software and application software.,2024-May-12卷
3,1,CPU instruction,5a,Complete the paragraph about fetching an instruction into the CPU to be processed.,2024-May-12卷
3,1,instruction set,5b,State what is meant by an instruction set.,2024-May-12卷
2,1,error detection,6,Complete the table by giving the correct error detection method for each statement.,2024-May-12卷
2,1,MAC address,7a,Tick one box to show which statement about the MAC address is correct.,2024-May-12卷
2,1,IPv4 address,7bi,Give an example of an IPv4 address.,2024-May-12卷
2,1,IPv6 characteristics,7bii,Give two characteristics of the IPv6 format.,2024-May-12卷
5,1,DDoS attack,8a,Draw and annotate a diagram to show the process of the DDoS.,2024-May-12卷
5,1,DDoS prevention,8b,Identify a solution that can be used to help prevent the DDoS attack.,2024-May-12卷
3,1,secondary storage,9a,Explain why a computer needs secondary storage.,2024-May-12卷
3,1,storage difference,9b,Describe three differences between solid-state and optical storage.,2024-May-12卷
6,1,AI definition,10a,Describe what is meant by AI.,2024-May-12卷
6,1,expert system,10b,Explain how an expert system operates to help diagnose a problem.,2024-May-12卷
5,1,internet vs WWW,11a,Describe the difference between the internet and the world wide web.,2024-May-12卷
5,1,URL components,11b,Identify the three different parts that are included in the URL.,2024-May-12卷
5,1,web browser functions,11c,Give three functions of a web browser.,2024-May-12卷
1,1,bit,1a,State how many bits there are in a byte.,2024-May-13卷
1,1,kibibyte,1b,State how many kibibytes (KiB) there are in 2 mebibytes (MiB).,2024-May-13卷
1,1,nibble,1c,Identify the unit of data that is equal to 4 bits.,2024-May-13卷
1,1,colour depth,2a,State what is meant by a 16-bit colour depth.,2024-May-13卷
1,1,image resolution,2b,Give the effect of changing resolution from 1000 × 1750 to 750 × 1500 pixels on file size.,2024-May-13卷
1,1,hexadecimal conversion,3ai,Convert the address A2F to binary.,2024-May-13卷
1,1,denary conversion,3aii,Convert the address A2F to denary.,2024-May-13卷
1,1,binary to hexadecimal,3bi,Convert the binary number 000110011011 to hexadecimal.,2024-May-13卷
1,1,binary to denary,3bii,Convert the binary number 000110011011 to denary.,2024-May-13卷
1,1,hexadecimal importance,3c,Give one reason why addresses are displayed in hexadecimal instead of binary.,2024-May-13卷
1,1,hexadecimal uses,3d,Identify two other ways that hexadecimal is used in computer science.,2024-May-13卷
1,1,two’s complement,3e,Calculate the two’s complement 8-bit integer for -25.,2024-May-13卷
3,1,secondary storage,4,Complete the table by writing the correct type of secondary storage for each statement.,2024-May-13卷
3,1,RAM characteristics,5a,Tick one box to show which statement about RAM is correct.,2024-May-13卷
3,1,ROM characteristics,5b,State the characteristic of ROM that makes it a type of primary storage.,2024-May-13卷
3,1,input devices,6a,Circle three other input devices.,2024-May-13卷
3,1,sensor benefits,6b,Give two benefits of using sensors in an automated system.,2024-May-13卷
3,1,sensor applications,6c,Complete the table by giving a suitable use for each type of sensor.,2024-May-13卷
2,1,serial transmission,7a,Draw and annotate a diagram to show how data is transmitted using serial half-duplex transmission.,2024-May-13卷
2,1,serial benefits,7b,Give two benefits of using serial half-duplex data transmission.,2024-May-13卷
2,1,serial drawbacks,7c,Give one drawback of using serial half-duplex data transmission.,2024-May-13卷
2,1,cybersecurity threats,7di,Give three cybersecurity threats that a proxy server can help protect against.,2024-May-13卷
2,1,proxy server functions,7dii,Identify two functions of a proxy server.,2024-May-13卷
2,1,web page retrieval,7e,"Describe how web pages are located, retrieved and displayed on a customer's computer.",2024-May-13卷
3,1,CPU role,8a,Describe the role of the CPU in a computer.,2024-May-13卷
3,1,CPU registers,8bi,State the purpose of a register.,2024-May-13卷
3,1,CPU register types,8bii,Give three registers built into the CPU.,2024-May-13卷
3,1,ALU function,8c,Describe the purpose of the ALU.,2024-May-13卷
3,1,CPU performance,8d,Explain why a different CPU can increase performance.,2024-May-13卷
4,1,interrupts,9a,Complete the paragraph about the use of an interrupt.,2024-May-13卷
4,1,OS memory functions,9b,Give two functions of an operating system that relate to memory.,2024-May-13卷
2,2,validation check,1,Tick one box to complete the sentence about a validation check for an email address.,2024-May-21卷
2,2,programming concepts,2a,Draw lines to link each description to the most appropriate programming concept.,2024-May-21卷
2,2,pseudocode procedure,2b,Write the pseudocode to use a procedure named Average that passes the values 25 and 50.,2024-May-21卷
2,2,procedures and functions,2c,Outline the role of procedures and functions in creating a program that is easier to maintain.,2024-May-21卷
1,2,integer and real,3,State what is meant by the data types integer and real. Give an example of each.,2024-May-21卷
2,2,pseudocode errors,4a,Identify four errors in the given pseudocode and suggest corrections.,2024-May-21卷
2,2,pseudocode output,4b,Write the pseudocode statement to output the average rounded to one decimal place.,2024-May-21卷
2,2,input validation,4c,Explain how to modify the algorithm to ensure all numbers entered are between 1 and 500 inclusive.,2024-May-21卷
2,2,CASE statement,5,Write pseudocode to accept input (1 to 4 inclusive) and output number or 'ERROR' if invalid.,2024-May-21卷
2,2,trace table,6a,Complete the trace table for the given flowchart algorithm.,2024-May-21卷
2,2,algorithm explanation,6b,Outline the processes involved in the algorithm shown in the flowchart.,2024-May-21卷
2,2,file storage,7a,Outline why it is useful to store data in a file.,2024-May-21卷
2,2,file operations,7b,"Write pseudocode to read a file, convert contents to uppercase, and output the length.",2024-May-21卷
2,2,logic circuit,8a,Draw a logic circuit for the given Boolean expression.,2024-May-21卷
2,2,truth table,8b,Complete the truth table for the given logic expression.,2024-May-21卷
3,2,database primary key,9a,State whether any fields in a database table would be suitable as a primary key and explain why.,2024-May-21卷
3,2,SQL query,9b,Complete the SQL statement to return the number of cans in stock.,2024-May-21卷
3,2,array processing,10,"Write a program to manage cricket clubs' matches, validate input, compute points, and determine winners.",2024-May-21卷
1,1,file size,1a,Tick one box to show which is not a unit of measurement for a file.,2024-Sep-11卷
1,1,compression types,1bi,Give two types of compression that can be used to reduce the size of a file.,2024-Sep-11卷
1,1,compression benefits,1bii,Give three benefits of reducing the size of a file for storage and transmission.,2024-Sep-11卷
3,1,smartphone input,2a,Identify two input devices that can be built into the smartphone.,2024-Sep-11卷
3,1,smartphone output,2b,Identify two output devices that can be built into the smartphone.,2024-Sep-11卷
3,1,secondary storage,2ci,Explain the purpose of secondary storage in the smartphone.,2024-Sep-11卷
3,1,secondary storage type,2cii,Identify the most suitable type of secondary storage for the smartphone and explain the choice.,2024-Sep-11卷
